0 354 0 
0 322 0 
0 329 0 
0 312 0 
0 331 0 
0 311 0 
0 291 0 
0 325 0 
0 292 10 
0 309 0 
0 295 0 
0 297 0 
0 323 0 
0 352 0 
0 278 3 
0 273 0 
0 267 0 
0 354 4 
0 344 0 
0 307 0 
0 284 0 
0 321 0 
0 315 0 
0 313 2 
0 349 0 
0 251 0 
0 328 0 
0 325 0 
0 327 0 
0 345 0 
0 307 0 
0 318 0 
0 313 0 
0 298 0 
0 301 0 
0 290 0 
0 280 0 
0 335 0 
0 324 2 
0 323 0 
0 285 0 
0 329 0 
0 344 0 
0 316 0 
0 360 0 
0 366 0 
0 270 0 
0 288 0 
0 359 0 
0 337 0 
0 326 0 
0 286 0 
0 321 0 
0 307 0 
0 303 0 
0 344 0 
0 297 0 
0 307 0 
0 312 0 
0 251 0 
0 351 0 
0 303 0 
0 254 0 
0 312 0 
0 336 0 
0 278 0 
0 330 0 
0 334 0 
0 301 0 
0 351 1 
0 311 0 
0 345 0 
0 310 0 
0 335 0 
0 334 0 
0 331 0 
0 332 0 
0 350 0 
0 342 0 
0 332 0 
0 278 0 
0 252 0 
0 327 10 
0 298 1 
0 268 0 
0 260 1 
0 332 6 
0 325 0 
0 303 0 
0 321 0 
0 318 0 
0 282 0 
0 283 0 
0 323 0 
0 298 0 
0 283 0 
0 293 0 
0 314 1 
0 284 0 
0 345 0 
0 320 0 
0 351 0 
0 338 0 
0 325 0 
0 303 0 
0 286 0 
0 324 0 
0 253 0 
0 373 0 
0 323 0 
0 312 0 
0 288 0 
0 309 2 
0 275 26 
0 349 0 
0 314 0 
0 327 0 
0 278 0 
0 312 0 
0 353 0 
0 270 0 
0 317 0 
0 282 0 
0 329 0 
0 257 1 
0 345 0 
0 328 3 
0 336 0 
0 328 0 
0 332 0 
0 254 1 
0 312 0 
0 286 0 
0 248 0 
0 285 0 
0 335 0 
0 337 0 
0 332 0 
0 217 0 
0 307 7 
0 325 0 
0 324 0 
0 301 0 
0 337 0 
0 359 2 
0 284 1 
0 354 0 
0 315 0 
0 296 0 
0 324 0 
0 320 0 
0 348 0 
0 262 0 
0 307 0 
0 277 0 
0 351 0 
0 333 0 
0 308 0 
0 315 0 
0 358 0 
0 349 0 
0 280 12 
0 270 0 
0 256 6 
0 376 0 
0 309 0 
0 329 0 
0 314 0 
0 347 0 
0 346 0 
0 287 0 
0 343 0 
0 274 0 
0 338 0 
0 298 0 
0 235 0 
0 329 0 
0 321 0 
0 327 0 
0 248 0 
0 334 0 
0 382 0 
