0 0 336 
0 0 244 
0 0 296 
0 0 334 
0 0 364 
0 0 379 
0 0 273 
0 0 234 
0 0 232 
0 0 405 
0 0 292 
0 0 315 
0 0 387 
0 2 266 
0 0 348 
0 0 299 
0 10 245 
0 0 331 
0 10 328 
0 0 299 
0 0 318 
0 0 370 
0 0 241 
0 0 325 
0 0 313 
0 2 313 
0 9 282 
0 0 251 
0 0 276 
0 0 281 
0 0 368 
0 0 293 
0 0 277 
0 0 262 
0 0 238 
0 0 293 
0 0 234 
0 0 326 
0 0 316 
0 0 262 
0 0 306 
0 0 400 
0 7 291 
0 0 310 
0 5 267 
0 0 333 
0 0 304 
0 0 336 
0 0 304 
0 0 258 
0 0 274 
0 0 305 
0 0 376 
0 0 311 
0 0 390 
0 0 232 
0 0 321 
0 0 290 
0 0 354 
0 0 251 
0 0 233 
0 0 222 
0 0 358 
0 0 310 
0 0 262 
0 0 292 
0 1 265 
0 10 285 
0 0 287 
0 0 303 
0 0 344 
0 0 326 
0 0 252 
0 0 263 
0 0 489 
0 0 316 
0 0 275 
0 0 327 
0 0 374 
0 0 305 
0 0 352 
0 0 307 
0 0 267 
0 0 314 
0 0 242 
0 0 387 
0 0 300 
0 0 314 
0 0 263 
0 0 289 
0 0 345 
0 0 259 
0 0 278 
0 0 234 
0 0 311 
0 1 264 
0 0 246 
0 0 316 
0 0 324 
0 0 314 
0 18 248 
0 1 303 
0 0 319 
0 0 335 
0 0 440 
0 0 284 
0 0 322 
0 0 297 
0 0 328 
0 0 335 
0 0 248 
0 0 231 
0 3 401 
0 0 283 
0 0 232 
0 0 254 
0 0 309 
0 0 338 
0 0 341 
0 0 284 
0 0 245 
0 0 294 
0 0 327 
0 0 346 
0 0 253 
0 0 270 
0 0 316 
0 15 296 
0 0 345 
0 25 324 
0 0 275 
0 0 300 
0 0 317 
0 0 229 
0 1 299 
0 0 411 
0 0 306 
0 0 275 
0 0 290 
0 0 326 
0 0 284 
0 0 264 
0 0 304 
0 0 392 
0 0 364 
0 0 292 
0 0 307 
0 0 314 
0 0 410 
0 0 339 
0 0 354 
0 0 329 
0 0 348 
0 1 272 
0 0 426 
0 0 263 
0 0 331 
0 0 320 
0 0 321 
0 0 312 
0 0 275 
0 0 312 
0 0 297 
0 0 235 
0 0 300 
0 0 303 
0 0 283 
0 0 304 
0 0 282 
0 0 317 
0 0 306 
0 0 295 
0 0 308 
0 0 265 
0 0 358 
0 0 275 
0 0 515 
0 0 238 
0 0 289 
0 0 322 
0 0 266 
0 0 247 
0 4 262 
0 0 290 
0 0 322 
0 0 334 
0 0 308 
0 0 297 
0 0 378 
0 0 286 
0 0 261 
0 0 271 
0 0 329 
0 0 299 
0 0 304 
0 0 306 
0 0 262 
0 0 287 
0 0 205 
0 0 241 
0 0 321 
0 0 293 
0 0 342 
0 15 270 
0 0 251 
0 0 263 
0 0 358 
0 0 387 
0 0 285 
0 0 276 
0 0 308 
0 0 622 
0 0 340 
0 0 267 
0 0 333 
0 0 288 
0 0 268 
0 0 264 
0 0 286 
0 0 277 
0 0 321 
0 0 286 
0 0 280 
0 0 344 
0 0 237 
0 0 294 
0 86 221 
0 0 342 
0 0 321 
0 0 286 
0 0 229 
0 0 340 
0 7 261 
0 0 197 
0 0 326 
0 0 247 
0 0 302 
0 0 308 
0 0 302 
0 0 320 
0 0 313 
0 0 292 
0 0 279 
0 4 258 
0 0 339 
0 0 277 
0 0 202 
0 0 252 
0 0 364 
0 0 298 
0 0 248 
0 0 255 
0 0 262 
