0 311 0 
0 332 0 
0 309 0 
0 323 0 
0 289 0 
0 288 0 
0 327 0 
0 354 0 
0 316 0 
0 311 0 
0 321 0 
0 288 0 
0 341 0 
0 319 0 
0 329 0 
0 294 0 
0 330 0 
0 280 0 
0 336 0 
0 347 0 
0 308 0 
0 326 0 
0 297 0 
0 315 26 
0 323 0 
0 273 0 
0 349 0 
0 334 0 
0 319 0 
0 298 0 
0 321 0 
0 288 0 
0 272 0 
0 314 0 
0 344 0 
0 359 0 
0 300 0 
0 307 0 
0 306 0 
0 327 0 
0 307 0 
0 276 1 
0 325 8 
0 292 0 
0 332 0 
0 311 0 
0 275 0 
0 323 0 
0 304 0 
0 318 0 
0 310 0 
0 321 0 
0 323 0 
0 353 10 
0 324 0 
0 300 0 
0 338 0 
0 308 0 
0 301 1 
0 317 0 
0 312 0 
0 321 0 
0 308 0 
0 282 0 
0 308 0 
0 333 0 
0 322 0 
0 326 0 
0 307 0 
0 310 1 
0 292 0 
0 321 0 
0 285 2 
0 284 1 
0 346 0 
0 268 0 
0 332 2 
0 317 0 
0 301 0 
0 298 0 
0 294 4 
0 327 0 
0 321 0 
0 291 4 
0 284 0 
0 307 0 
0 295 0 
0 327 0 
0 293 0 
0 304 0 
0 322 0 
0 289 0 
0 346 0 
0 305 0 
0 294 0 
0 326 1 
0 336 2 
0 288 0 
0 297 0 
0 317 0 
0 290 8 
0 261 0 
0 293 0 
0 291 0 
0 290 0 
0 296 0 
0 279 0 
0 296 1 
0 315 0 
0 326 0 
0 312 0 
0 314 0 
0 330 0 
0 309 0 
0 341 0 
0 291 0 
0 326 0 
0 301 0 
0 278 0 
0 316 0 
0 286 0 
0 314 0 
0 333 2 
0 335 0 
0 281 0 
0 296 0 
0 308 1 
0 323 0 
0 294 0 
0 327 1 
0 329 0 
0 317 3 
0 315 0 
0 297 0 
0 304 0 
0 332 0 
0 318 0 
0 341 6 
0 342 0 
0 344 0 
0 316 0 
0 293 0 
0 317 4 
0 294 0 
0 300 0 
0 284 2 
0 362 0 
0 327 0 
0 309 3 
0 290 5 
0 324 0 
0 281 0 
0 332 0 
0 320 0 
0 300 0 
0 312 0 
0 239 0 
0 302 0 
0 303 0 
0 321 0 
0 354 0 
0 324 0 
0 246 6 
0 285 0 
0 326 0 
0 304 0 
0 323 0 
0 312 0 
0 342 0 
0 341 0 
0 317 0 
0 297 4 
0 285 0 
0 367 0 
0 319 0 
0 340 0 
0 315 0 
0 314 0 
0 307 0 
0 269 0 
0 308 0 
0 310 0 
0 313 0 
0 313 0 
0 320 6 
0 285 0 
0 323 0 
0 286 0 
0 361 0 
0 324 0 
0 344 0 
0 334 0 
0 333 0 
0 354 0 
0 303 0 
0 287 0 
0 318 0 
0 317 0 
0 356 0 
0 314 0 
0 281 1 
0 290 16 
0 353 0 
0 314 0 
0 302 0 
0 316 0 
0 292 0 
0 324 0 
0 331 0 
0 312 0 
0 282 0 
0 279 0 
0 319 0 
0 315 0 
0 268 1 
0 325 0 
0 311 0 
0 317 0 
0 280 0 
0 326 6 
0 331 5 
0 270 2 
0 306 0 
0 335 5 
0 291 0 
0 352 0 
0 287 0 
0 288 0 
0 286 0 
0 323 0 
0 332 0 
0 309 0 
0 307 0 
0 292 4 
0 329 0 
0 298 0 
0 357 4 
0 334 0 
0 310 0 
0 304 0 
0 336 5 
0 321 6 
0 285 0 
0 306 0 
0 326 0 
0 327 0 
0 314 0 
0 296 0 
0 284 2 
0 338 19 
0 356 0 
0 328 1 
0 276 0 
0 286 0 
0 294 0 
0 308 0 
0 308 0 
0 283 0 
0 336 0 
0 305 0 
0 301 5 
0 338 3 
0 268 9 
0 328 0 
0 281 0 
0 320 0 
0 336 0 
0 326 4 
0 329 0 
0 286 0 
0 308 0 
0 356 0 
0 312 0 
0 312 0 
0 293 6 
0 309 0 
0 301 0 
0 306 0 
0 325 0 
0 322 0 
0 303 0 
0 333 0 
0 294 0 
0 294 5 
0 291 0 
0 280 0 
0 314 0 
