0 295 0 
0 313 0 
0 313 0 
0 319 0 
0 325 4 
0 331 1 
0 282 22 
0 318 0 
0 302 0 
0 329 8 
0 304 0 
0 320 0 
0 301 0 
0 283 0 
0 346 0 
0 317 1 
0 325 8 
0 283 0 
0 289 0 
0 298 0 
0 265 0 
0 303 0 
0 309 0 
0 320 0 
0 354 7 
0 307 0 
0 312 0 
0 289 0 
0 324 0 
0 338 0 
0 315 0 
0 314 0 
0 308 0 
0 288 0 
0 309 0 
0 269 0 
0 344 0 
0 299 0 
0 281 0 
0 306 0 
0 323 0 
0 316 0 
0 343 0 
0 314 0 
0 312 0 
0 317 0 
0 290 0 
0 289 0 
0 334 0 
0 333 0 
0 329 0 
0 309 0 
0 344 0 
0 298 0 
0 348 0 
0 312 0 
0 327 0 
0 279 0 
0 315 1 
0 317 0 
0 293 0 
0 309 0 
0 352 0 
0 315 0 
0 263 0 
0 325 0 
0 292 0 
0 317 0 
0 310 0 
0 316 0 
0 339 0 
0 298 0 
0 306 0 
0 317 0 
0 283 0 
0 306 0 
0 307 3 
0 336 0 
0 361 0 
0 308 0 
0 345 3 
0 277 0 
0 298 0 
0 302 2 
0 336 0 
0 317 0 
0 345 0 
0 308 0 
0 315 0 
0 313 0 
0 319 0 
0 317 0 
0 328 0 
0 294 0 
0 283 0 
0 330 0 
0 316 0 
0 357 0 
0 345 0 
0 312 0 
0 319 0 
0 305 0 
0 300 0 
0 305 0 
0 312 0 
0 348 0 
0 355 0 
0 329 0 
0 328 0 
0 353 0 
0 278 0 
0 277 0 
0 302 0 
0 309 0 
0 302 0 
0 309 0 
0 362 0 
0 312 0 
0 334 0 
0 290 1 
0 283 0 
0 347 0 
0 340 8 
0 339 0 
0 297 0 
0 327 0 
0 257 2 
0 312 0 
0 362 8 
0 291 0 
0 282 4 
0 298 0 
0 318 0 
0 298 0 
0 304 0 
0 300 0 
0 305 0 
0 334 0 
0 319 0 
0 312 0 
0 316 0 
0 308 4 
0 308 0 
0 261 0 
0 299 0 
0 321 0 
0 326 0 
0 315 0 
0 311 0 
0 357 0 
0 302 0 
0 320 0 
0 291 3 
0 344 0 
0 329 0 
0 322 0 
0 281 0 
0 332 0 
0 280 0 
0 307 10 
0 356 0 
0 315 0 
0 314 0 
0 317 0 
0 327 12 
0 348 1 
0 332 2 
0 308 0 
0 302 0 
0 334 1 
0 311 0 
0 316 0 
0 336 0 
0 316 0 
0 339 0 
0 300 0 
0 321 0 
0 296 0 
0 326 0 
0 300 0 
0 281 0 
0 307 0 
0 331 0 
0 311 0 
0 332 0 
0 276 0 
0 348 0 
0 323 0 
0 301 0 
0 295 0 
0 283 23 
0 307 0 
0 274 0 
0 290 0 
0 326 0 
0 300 0 
0 334 0 
0 322 0 
0 257 0 
0 331 0 
0 294 0 
0 285 0 
0 326 0 
0 347 0 
0 355 0 
0 288 0 
0 313 1 
0 307 0 
0 312 0 
0 323 0 
0 290 0 
0 354 0 
0 329 0 
0 306 0 
0 300 0 
0 318 0 
0 283 0 
0 307 0 
0 341 0 
0 270 0 
0 292 0 
0 293 0 
0 317 0 
0 349 0 
0 297 0 
0 293 5 
0 317 3 
0 326 0 
0 313 0 
0 296 0 
0 303 13 
0 305 0 
0 287 3 
0 290 0 
0 323 0 
0 300 0 
0 295 0 
0 304 0 
0 309 0 
0 305 0 
0 336 0 
0 313 0 
0 346 3 
0 328 0 
0 317 0 
0 323 0 
0 325 0 
0 340 0 
0 307 0 
0 313 0 
0 350 0 
0 331 0 
0 256 0 
0 332 0 
0 292 2 
0 305 0 
0 288 0 
0 297 2 
0 279 19 
0 321 0 
0 302 0 
0 272 6 
0 304 0 
0 303 0 
0 313 0 
0 322 0 
0 334 0 
0 296 0 
0 325 0 
0 324 16 
0 338 0 
0 315 0 
0 335 0 
0 360 0 
0 324 1 
0 319 0 
0 301 4 
0 316 0 
0 339 0 
0 309 0 
0 324 0 
0 271 0 
0 306 0 
0 324 0 
0 286 4 
0 318 0 
0 251 0 
0 323 0 
0 336 0 
0 316 0 
0 343 0 
0 296 0 
0 325 20 
0 327 1 
0 290 14 
0 348 2 
0 302 0 
0 318 0 
0 314 0 
0 313 0 
0 295 2 
0 306 1 
0 335 0 
0 319 0 
0 328 0 
0 282 0 
0 294 19 
0 329 0 
0 319 0 
0 294 0 
0 335 0 
0 264 7 
0 313 0 
0 252 0 
0 311 6 
0 272 0 
0 301 0 
0 343 0 
0 347 0 
