0 309 0 
0 352 0 
0 342 0 
0 317 0 
0 347 0 
0 322 0 
0 303 0 
0 299 0 
0 294 0 
0 330 0 
0 298 0 
0 317 0 
0 326 2 
0 298 1 
0 311 0 
0 277 3 
0 284 0 
0 323 0 
0 332 0 
0 291 0 
0 324 0 
0 297 0 
0 312 0 
0 324 0 
0 329 0 
0 299 0 
0 312 0 
0 323 0 
0 315 0 
0 321 0 
0 294 0 
0 305 0 
0 280 0 
0 277 2 
0 284 0 
0 330 0 
0 348 0 
0 302 0 
0 293 0 
0 308 0 
0 292 0 
0 320 0 
0 340 0 
0 307 0 
0 283 3 
0 329 0 
0 308 0 
0 336 0 
0 319 0 
0 304 0 
0 315 0 
0 308 7 
0 334 0 
0 276 0 
0 298 0 
0 279 0 
0 332 0 
0 298 0 
0 309 9 
0 313 4 
0 319 0 
0 282 0 
0 315 0 
0 315 0 
0 328 2 
0 301 0 
0 283 0 
0 314 0 
0 289 0 
0 307 0 
0 279 0 
0 326 0 
0 275 2 
0 313 0 
0 348 5 
0 326 0 
0 311 0 
0 310 0 
0 312 0 
0 314 2 
0 331 0 
0 319 0 
0 336 0 
0 313 0 
0 301 0 
0 311 0 
0 309 0 
0 281 1 
0 304 0 
0 342 0 
0 332 0 
0 344 0 
0 328 0 
0 313 5 
0 334 0 
0 306 0 
0 283 0 
0 343 3 
0 302 0 
0 357 0 
0 291 0 
0 311 0 
0 307 0 
0 314 0 
0 319 0 
0 336 0 
0 328 0 
0 320 2 
0 312 0 
0 288 0 
0 325 0 
0 334 0 
0 305 0 
0 310 0 
0 314 1 
0 318 0 
0 311 0 
0 339 0 
0 319 0 
0 273 0 
0 296 0 
0 293 0 
0 351 0 
0 288 0 
0 336 0 
0 302 0 
0 315 0 
0 253 0 
0 300 0 
0 296 0 
0 295 0 
0 309 0 
0 322 0 
0 289 0 
0 304 1 
0 328 0 
0 306 0 
0 308 0 
0 352 0 
0 305 1 
0 321 0 
0 296 0 
0 317 0 
0 271 0 
0 291 0 
0 272 2 
0 325 2 
0 316 0 
0 323 0 
0 322 0 
0 341 0 
0 309 0 
0 305 0 
0 322 0 
0 343 0 
0 284 0 
0 343 0 
0 310 0 
0 313 0 
0 318 0 
0 262 0 
0 334 0 
0 304 0 
0 291 0 
0 329 0 
0 332 1 
0 291 0 
0 317 0 
0 311 0 
0 317 0 
0 325 0 
0 309 0 
0 328 0 
0 327 0 
0 283 0 
0 321 12 
0 281 0 
0 323 0 
0 318 0 
0 347 0 
