0 330 0 
0 290 0 
0 322 0 
0 340 0 
0 329 0 
0 280 1 
0 302 1 
0 290 0 
0 311 0 
0 303 0 
0 322 0 
0 285 1 
0 315 0 
0 309 0 
0 287 10 
0 258 0 
0 289 15 
0 344 0 
0 289 0 
0 328 0 
0 315 0 
0 282 0 
0 338 0 
0 310 0 
0 336 0 
0 332 0 
0 325 0 
0 318 0 
0 329 0 
0 339 0 
0 321 0 
0 263 0 
0 324 0 
0 323 0 
0 333 0 
0 305 0 
0 332 0 
0 337 0 
0 320 0 
0 315 0 
0 318 1 
0 342 0 
0 354 0 
0 363 0 
0 281 0 
0 346 0 
0 347 0 
0 309 0 
0 317 0 
0 325 0 
0 304 0 
0 312 0 
0 323 0 
0 307 0 
0 318 0 
0 295 1 
0 308 7 
0 311 0 
0 336 0 
0 307 9 
0 325 0 
0 299 0 
0 308 0 
0 279 0 
0 289 0 
0 330 0 
0 317 1 
0 309 0 
0 273 0 
0 263 0 
0 314 0 
0 300 0 
0 344 0 
0 327 0 
0 322 0 
0 297 0 
0 338 0 
0 303 0 
0 331 0 
0 339 0 
0 314 0 
0 285 1 
0 315 0 
0 309 1 
0 291 2 
0 320 0 
0 320 0 
0 306 0 
0 344 0 
0 302 0 
0 298 0 
0 313 0 
0 278 0 
0 337 2 
0 273 0 
0 308 0 
0 344 0 
0 326 0 
0 358 0 
0 306 11 
0 320 0 
0 312 0 
0 337 0 
0 323 0 
0 294 7 
0 313 0 
0 289 0 
0 301 0 
0 293 0 
0 336 0 
0 319 0 
0 331 0 
0 286 4 
0 319 0 
0 351 4 
0 319 0 
0 323 0 
0 275 0 
0 326 0 
0 325 0 
0 346 0 
0 300 0 
0 306 0 
0 341 0 
0 317 1 
0 305 0 
0 295 0 
0 311 0 
0 346 0 
0 317 0 
0 293 0 
0 304 0 
0 320 0 
0 282 0 
0 309 2 
0 332 0 
0 289 0 
0 289 0 
0 263 0 
0 258 2 
0 280 0 
0 348 6 
0 324 0 
0 321 0 
0 330 0 
0 304 0 
0 332 2 
0 311 0 
0 319 1 
0 318 0 
0 309 0 
0 278 0 
0 340 0 
0 331 0 
0 290 0 
0 302 0 
0 308 0 
0 296 0 
0 314 0 
0 297 0 
0 250 0 
0 303 0 
0 311 0 
0 271 20 
0 299 18 
0 306 0 
0 300 0 
0 263 0 
0 331 0 
0 326 0 
0 310 0 
0 320 0 
0 297 0 
0 325 8 
0 292 0 
0 330 0 
0 309 0 
0 310 0 
0 293 0 
0 325 0 
0 338 0 
0 313 0 
0 263 0 
0 322 0 
0 327 0 
0 309 0 
0 340 0 
0 316 0 
0 327 0 
0 343 5 
0 337 0 
0 292 0 
0 253 0 
0 320 0 
0 317 0 
0 302 0 
0 299 0 
0 309 0 
0 308 0 
0 327 0 
0 272 0 
0 299 0 
0 269 0 
0 315 0 
0 336 0 
0 310 0 
0 301 0 
0 299 0 
0 342 0 
0 299 0 
0 309 0 
0 305 0 
0 287 2 
0 337 0 
0 322 0 
0 308 0 
0 337 0 
0 297 0 
0 338 2 
0 334 0 
0 314 0 
0 333 0 
0 340 0 
0 303 4 
0 327 0 
0 324 0 
0 332 0 
0 318 1 
0 296 0 
0 316 1 
0 310 0 
0 308 0 
0 322 0 
