0 287 0 
0 280 0 
0 318 0 
0 304 0 
0 300 0 
0 322 0 
0 260 0 
0 288 0 
0 303 3 
0 319 0 
0 342 0 
0 280 0 
0 314 0 
0 290 0 
0 326 1 
0 307 0 
0 316 0 
0 327 0 
0 335 0 
0 317 0 
0 276 0 
0 318 0 
0 332 1 
0 305 0 
0 282 0 
0 332 0 
0 318 0 
0 314 0 
0 327 0 
0 317 0 
0 306 0 
0 326 0 
0 341 0 
0 296 0 
0 301 0 
0 332 0 
0 272 5 
0 312 1 
0 329 0 
0 340 2 
0 301 0 
0 326 0 
0 319 0 
0 302 0 
0 344 0 
0 322 0 
0 292 0 
0 328 0 
0 295 0 
0 297 1 
0 321 0 
0 319 0 
0 277 1 
0 297 0 
0 294 0 
0 304 0 
0 294 0 
0 312 0 
0 306 0 
0 283 9 
0 349 0 
0 314 0 
0 283 0 
0 286 4 
0 310 0 
0 296 0 
0 295 0 
0 321 0 
0 329 0 
0 325 0 
0 330 0 
0 340 1 
0 300 0 
0 321 0 
0 344 0 
0 312 0 
0 282 0 
0 291 0 
0 287 1 
0 320 0 
0 297 0 
0 320 2 
0 302 0 
0 344 0 
0 352 0 
0 308 0 
0 327 0 
0 309 0 
0 317 0 
0 245 0 
0 329 0 
0 319 0 
0 311 1 
0 307 0 
0 262 0 
0 298 1 
0 305 0 
0 313 2 
0 300 0 
0 296 0 
0 321 0 
0 315 1 
0 312 0 
0 309 0 
0 298 5 
0 287 3 
0 296 0 
0 332 3 
0 316 2 
0 324 0 
0 311 0 
0 312 0 
0 365 0 
0 312 0 
0 317 0 
0 305 1 
0 320 0 
0 259 0 
0 344 0 
0 301 0 
0 286 0 
0 297 0 
0 313 0 
0 320 0 
0 317 0 
0 314 2 
0 270 0 
0 310 0 
0 352 0 
0 286 0 
0 298 3 
0 310 4 
0 302 0 
0 328 0 
0 340 0 
0 349 0 
0 333 0 
0 294 0 
0 333 0 
0 336 0 
0 297 0 
0 316 0 
0 296 0 
0 297 0 
0 306 0 
0 285 0 
0 293 0 
0 309 0 
0 306 0 
0 289 0 
0 316 0 
0 287 8 
0 291 0 
0 320 31 
0 299 0 
0 285 0 
0 335 0 
0 326 0 
0 289 0 
0 320 1 
0 321 0 
0 313 0 
0 285 0 
0 333 2 
0 339 0 
0 301 15 
0 318 0 
0 332 0 
0 320 0 
0 309 0 
0 304 0 
0 304 3 
0 280 0 
0 303 0 
0 319 0 
0 282 0 
0 315 0 
0 299 0 
0 297 0 
0 306 0 
0 293 0 
0 311 0 
0 328 1 
0 285 0 
0 312 0 
0 320 1 
0 278 0 
0 335 0 
0 308 0 
0 322 0 
0 319 0 
0 308 0 
0 291 0 
0 247 0 
0 295 0 
0 307 0 
0 322 5 
0 322 2 
0 352 0 
0 290 1 
0 342 0 
0 310 0 
0 293 0 
0 346 0 
0 317 5 
0 283 0 
0 300 0 
0 319 0 
0 266 0 
0 310 0 
0 307 2 
0 289 0 
0 286 0 
0 315 0 
0 296 0 
