0 320 1 
0 303 0 
0 313 0 
0 335 1 
0 308 0 
0 311 0 
0 341 0 
0 345 0 
0 312 0 
0 274 0 
0 306 0 
0 300 0 
0 331 0 
0 287 0 
0 266 12 
0 281 1 
0 300 0 
0 345 0 
0 291 0 
0 316 0 
0 326 0 
0 274 0 
0 255 0 
0 286 3 
0 310 0 
0 332 0 
0 302 0 
0 329 0 
0 335 0 
0 374 0 
0 310 0 
0 297 0 
0 297 0 
0 313 11 
0 297 0 
0 341 0 
0 347 0 
0 317 6 
0 347 0 
0 302 0 
0 284 0 
0 323 0 
0 322 0 
0 326 3 
0 344 0 
0 322 0 
0 294 4 
0 325 0 
0 289 0 
0 269 2 
0 270 0 
0 289 0 
0 318 0 
0 274 4 
0 331 0 
0 303 0 
0 326 2 
0 322 0 
0 329 0 
0 344 0 
0 309 13 
0 285 0 
0 289 0 
0 339 0 
0 318 0 
0 281 0 
0 341 0 
0 265 0 
0 324 0 
0 342 0 
0 333 0 
0 321 0 
0 300 0 
0 265 0 
0 313 0 
0 313 4 
0 281 0 
0 322 0 
0 255 0 
0 263 0 
0 288 0 
0 300 0 
0 291 3 
0 323 0 
0 304 0 
0 283 0 
0 299 9 
0 299 0 
0 327 2 
0 277 0 
0 323 0 
0 329 0 
0 333 0 
0 259 0 
0 317 0 
0 310 0 
0 322 0 
0 342 0 
0 289 0 
0 303 0 
0 311 0 
0 302 0 
0 312 0 
0 302 0 
0 325 0 
0 316 0 
0 315 0 
0 316 0 
0 343 0 
0 313 0 
0 311 8 
0 326 0 
0 307 2 
0 287 0 
0 330 0 
0 317 0 
0 326 0 
0 339 0 
0 310 0 
0 317 0 
0 322 0 
0 311 0 
0 307 39 
0 271 0 
0 290 0 
0 337 0 
0 329 0 
0 287 0 
0 319 0 
0 336 0 
0 283 0 
0 333 0 
0 282 3 
0 319 0 
0 305 0 
0 273 0 
0 298 0 
0 321 0 
0 298 0 
0 324 0 
0 351 0 
0 375 0 
0 299 2 
0 260 13 
0 326 0 
0 322 0 
0 322 0 
0 264 0 
0 367 0 
0 277 0 
0 323 5 
0 258 0 
0 328 5 
0 308 0 
0 329 0 
0 312 0 
0 326 0 
0 290 0 
0 274 0 
0 258 0 
0 256 0 
0 307 0 
0 296 0 
0 290 0 
0 346 0 
0 321 0 
0 329 0 
0 336 0 
0 323 0 
0 314 0 
0 280 0 
0 332 0 
0 349 0 
0 282 0 
0 314 0 
0 341 0 
0 249 1 
0 342 0 
0 302 3 
0 362 0 
0 345 0 
0 297 0 
0 326 0 
0 362 2 
0 285 1 
0 311 0 
0 346 0 
0 278 0 
0 284 0 
0 335 0 
0 283 0 
0 266 0 
0 276 0 
0 318 0 
0 296 0 
0 307 0 
0 324 0 
0 297 0 
0 327 0 
0 305 0 
0 340 1 
0 318 0 
0 283 0 
0 307 0 
0 363 0 
0 296 0 
0 217 0 
0 359 0 
0 328 0 
0 354 0 
0 309 0 
0 352 0 
0 306 0 
0 318 0 
0 340 0 
0 305 0 
0 327 0 
0 301 0 
0 339 0 
0 310 0 
0 335 0 
0 300 0 
0 257 0 
0 305 0 
0 311 0 
0 313 2 
0 295 0 
0 323 20 
0 295 2 
0 276 0 
0 281 0 
0 321 0 
0 289 0 
0 259 0 
0 279 2 
0 311 0 
0 334 0 
0 311 0 
0 317 0 
0 337 0 
0 335 0 
0 310 0 
0 358 0 
0 316 0 
0 279 0 
0 307 3 
0 322 0 
0 317 0 
0 314 0 
0 325 0 
0 281 7 
0 282 0 
0 315 0 
0 300 0 
0 323 0 
0 331 0 
0 293 0 
0 320 0 
0 314 0 
0 241 0 
0 319 0 
0 339 0 
0 326 0 
0 241 0 
0 279 0 
0 329 0 
0 345 0 
0 308 9 
0 324 0 
0 311 6 
0 317 0 
0 283 0 
0 269 0 
0 280 0 
0 346 0 
0 306 0 
0 301 0 
0 317 0 
0 315 0 
0 325 0 
0 298 4 
0 324 0 
0 315 0 
0 317 0 
0 344 0 
0 245 0 
0 281 0 
0 316 0 
0 341 0 
0 363 0 
0 345 0 
0 231 0 
0 298 0 
0 264 0 
0 296 0 
0 287 0 
0 321 0 
0 331 0 
0 305 0 
0 332 5 
0 342 0 
0 324 0 
0 283 0 
0 348 0 
0 285 0 
0 310 0 
0 327 0 
0 289 0 
0 305 0 
0 293 1 
0 301 0 
0 309 0 
0 290 0 
0 318 0 
0 325 0 
0 309 0 
0 310 0 
0 286 0 
0 275 0 
0 289 0 
0 350 0 
0 316 0 
0 308 0 
0 321 0 
0 319 2 
0 307 0 
0 287 0 
0 353 0 
0 337 0 
0 325 0 
0 271 0 
0 286 0 
0 316 0 
0 310 0 
0 311 0 
0 288 0 
0 278 0 
0 330 0 
0 318 0 
0 319 0 
0 360 0 
0 336 0 
0 321 0 
0 300 26 
0 319 0 
0 312 0 
0 313 0 
0 308 0 
0 327 0 
0 308 0 
0 348 4 
0 323 0 
0 325 0 
0 314 0 
0 337 0 
0 306 0 
0 317 0 
0 308 0 
0 282 0 
0 300 0 
0 277 0 
0 301 0 
0 315 0 
0 344 0 
0 332 1 
0 334 0 
0 323 0 
0 321 0 
0 310 0 
0 334 0 
0 272 0 
0 264 0 
0 364 3 
0 314 0 
0 319 0 
0 298 0 
0 314 13 
0 315 0 
0 312 0 
0 349 0 
0 330 0 
0 289 0 
0 321 0 
0 299 0 
0 292 0 
0 300 0 
0 309 0 
0 327 0 
0 289 0 
0 252 0 
0 308 5 
0 291 0 
0 253 0 
0 326 0 
0 276 3 
0 325 0 
0 289 0 
0 323 0 
0 311 0 
0 337 0 
0 343 0 
0 291 0 
0 312 0 
0 336 0 
0 319 0 
0 286 0 
0 311 4 
0 268 0 
0 342 0 
0 322 0 
0 332 0 
0 278 8 
0 337 0 
0 299 0 
0 251 0 
0 305 0 
0 293 0 
0 301 1 
0 289 0 
0 321 0 
0 312 0 
0 324 0 
0 302 47 
0 347 0 
0 336 5 
0 307 0 
0 308 0 
0 339 0 
0 314 0 
0 332 0 
0 295 0 
0 329 0 
0 259 0 
0 283 0 
0 373 4 
0 311 0 
0 286 0 
0 317 0 
0 339 0 
0 370 0 
0 263 0 
0 282 2 
0 261 0 
0 293 0 
0 281 0 
0 299 1 
0 296 0 
0 328 0 
0 324 0 
0 318 0 
0 330 0 
0 342 0 
0 307 0 
0 300 0 
0 303 0 
0 332 0 
0 355 0 
0 322 0 
0 304 0 
0 277 0 
0 290 0 
0 313 0 
0 333 0 
0 305 0 
0 285 0 
0 288 0 
0 297 0 
0 292 0 
0 318 0 
0 323 0 
0 325 0 
0 316 0 
0 305 0 
0 283 2 
0 319 0 
0 293 0 
0 302 0 
0 371 0 
0 306 0 
0 314 4 
0 272 0 
0 304 0 
0 270 0 
0 309 0 
0 248 0 
0 291 0 
