0 309 0 
0 322 3 
0 332 0 
0 323 0 
0 261 0 
0 274 0 
0 360 0 
0 299 0 
0 305 0 
0 304 0 
0 309 0 
0 300 0 
0 328 0 
0 279 5 
0 303 5 
0 336 0 
0 298 0 
0 328 0 
0 298 0 
0 324 0 
0 277 0 
0 294 0 
0 337 0 
0 291 6 
0 314 0 
0 336 0 
0 294 0 
0 327 0 
0 299 0 
0 320 0 
0 350 0 
0 292 10 
0 342 2 
0 326 0 
0 319 0 
0 307 0 
0 279 9 
0 316 0 
0 344 0 
0 341 0 
0 363 0 
0 297 0 
0 309 0 
0 327 0 
0 313 0 
0 303 0 
0 319 0 
0 309 0 
0 321 0 
0 305 0 
0 320 0 
0 328 0 
0 291 0 
0 303 0 
0 326 0 
0 302 0 
0 310 0 
0 303 0 
0 290 0 
0 301 0 
0 304 0 
0 326 0 
0 262 0 
0 256 0 
0 347 0 
0 309 9 
0 298 0 
0 277 0 
0 324 0 
0 306 0 
0 260 0 
0 298 0 
0 313 1 
0 344 0 
0 350 0 
0 251 2 
0 318 0 
0 340 2 
0 335 0 
0 318 0 
0 248 0 
0 324 0 
0 293 0 
0 296 0 
0 279 0 
0 321 0 
0 317 0 
0 357 0 
0 305 0 
0 295 0 
0 329 0 
0 289 0 
0 325 0 
0 360 0 
0 311 0 
0 304 0 
0 345 0 
0 334 0 
0 330 0 
0 287 0 
0 330 0 
0 312 0 
0 308 0 
0 300 0 
0 349 0 
0 298 0 
0 341 0 
0 325 0 
0 362 0 
0 317 0 
0 270 0 
0 318 1 
0 304 0 
0 313 0 
0 274 0 
0 301 0 
0 327 0 
0 304 0 
0 305 0 
0 353 8 
0 323 0 
0 307 6 
0 309 0 
0 299 0 
0 317 5 
0 306 0 
0 347 0 
0 349 0 
0 295 0 
0 321 0 
0 340 0 
0 333 0 
0 357 0 
0 307 0 
0 275 0 
0 333 0 
0 330 0 
0 339 1 
0 322 0 
0 295 0 
0 315 0 
0 323 0 
0 323 0 
0 283 7 
0 315 0 
0 306 0 
0 296 0 
0 330 0 
0 311 0 
0 329 1 
0 328 0 
0 323 0 
0 322 0 
0 305 0 
0 326 0 
0 314 0 
0 311 0 
0 289 0 
0 319 0 
0 315 0 
0 283 0 
0 300 0 
0 368 0 
0 312 0 
0 343 0 
0 317 0 
0 323 0 
0 293 0 
0 340 0 
0 335 0 
0 266 7 
0 294 0 
0 315 0 
0 299 0 
0 327 0 
0 298 0 
0 295 0 
0 268 5 
0 314 0 
0 313 2 
0 311 0 
0 268 0 
0 333 0 
0 326 2 
0 322 0 
0 326 0 
0 315 2 
0 293 0 
0 273 0 
0 315 0 
0 288 0 
0 337 0 
0 334 0 
0 333 0 
0 296 0 
0 290 0 
0 357 2 
0 331 0 
0 328 1 
0 328 0 
0 276 0 
0 333 0 
0 342 0 
0 307 0 
0 323 0 
0 325 0 
0 333 0 
0 338 0 
0 297 0 
0 315 0 
0 251 0 
0 310 0 
0 334 0 
0 312 0 
0 276 2 
0 328 0 
0 335 0 
0 331 0 
0 308 1 
0 326 0 
0 320 0 
0 337 2 
0 303 8 
0 305 0 
0 323 0 
0 332 0 
0 304 0 
0 289 0 
0 305 0 
0 326 0 
0 326 9 
0 289 5 
0 286 0 
0 295 0 
0 317 0 
0 349 0 
0 316 0 
0 330 0 
0 262 0 
0 312 0 
0 330 0 
0 311 0 
0 286 0 
0 298 0 
0 351 0 
0 290 0 
0 346 0 
0 315 0 
0 301 0 
0 296 0 
0 318 0 
0 296 6 
0 298 0 
0 285 0 
0 340 0 
0 289 0 
0 304 0 
0 345 0 
0 307 0 
0 289 0 
0 303 0 
0 299 0 
0 270 0 
0 305 0 
0 350 0 
0 307 0 
0 308 0 
0 312 0 
0 254 6 
0 341 0 
0 337 0 
0 324 1 
0 321 1 
0 324 0 
0 311 0 
0 347 0 
0 313 0 
0 320 1 
0 338 0 
0 322 0 
0 322 0 
0 309 0 
0 313 0 
0 299 0 
0 322 0 
0 298 0 
0 316 0 
0 256 0 
0 316 5 
0 354 0 
0 337 0 
0 296 0 
0 299 0 
0 312 0 
0 322 0 
0 270 9 
0 311 0 
0 327 0 
0 327 0 
0 303 0 
0 291 0 
0 315 0 
0 316 0 
0 306 0 
0 329 0 
0 317 0 
0 307 0 
0 322 0 
0 306 5 
0 316 0 
0 312 0 
0 320 0 
0 342 0 
0 300 0 
0 333 0 
0 343 0 
0 276 0 
0 267 0 
0 315 0 
0 301 0 
0 348 0 
0 319 0 
0 324 0 
0 311 0 
0 301 4 
0 320 0 
0 297 0 
0 265 0 
0 320 0 
0 320 0 
0 335 10 
0 323 0 
0 318 0 
0 323 0 
0 320 0 
0 306 0 
0 294 0 
0 301 0 
0 327 0 
0 317 0 
0 325 0 
0 289 0 
0 310 0 
0 275 2 
0 341 0 
0 331 0 
0 232 0 
0 327 0 
0 316 1 
0 335 0 
0 299 0 
0 292 0 
0 306 0 
0 302 0 
0 309 0 
0 316 0 
0 321 0 
0 345 0 
0 306 0 
0 321 0 
0 317 0 
0 297 0 
0 305 0 
0 331 3 
0 341 0 
0 280 0 
0 325 2 
0 343 0 
0 322 4 
0 317 0 
0 294 0 
0 279 0 
0 359 0 
0 341 0 
0 320 0 
0 340 0 
0 319 0 
0 354 0 
0 327 0 
0 294 0 
0 334 0 
0 326 0 
0 318 0 
0 295 0 
0 343 3 
0 306 0 
0 321 0 
0 294 0 
0 331 0 
0 307 0 
0 286 0 
0 341 0 
0 306 0 
0 331 3 
0 328 0 
0 322 0 
0 273 1 
0 300 0 
0 358 0 
0 266 0 
0 332 0 
0 318 0 
0 317 0 
0 315 0 
0 305 0 
0 306 0 
0 317 0 
0 300 1 
0 330 0 
0 289 7 
0 339 21 
0 337 0 
0 300 2 
0 330 0 
0 304 1 
0 302 0 
0 326 0 
0 328 0 
0 345 0 
0 286 0 
0 340 0 
0 317 0 
0 311 0 
0 281 0 
0 315 0 
0 315 0 
0 298 1 
0 303 0 
0 306 0 
0 299 0 
0 356 0 
0 300 0 
0 312 0 
0 296 0 
0 307 0 
0 315 0 
0 296 0 
0 291 0 
0 324 0 
0 295 0 
0 281 0 
0 337 0 
0 324 5 
0 304 0 
